年齢,性別,身長,体重,今の時間帯,空いた時間,食べたカロリー,これから食べるカロリー,食べれたか
65,女性,163.2,59.6,2023-08-22 04:43:00,6.2,464.3,330.0,1
45,男性,169.6,63.7,2023-08-22 19:46:00,5.0,332.5,470.9,1
50,男性,169.4,63.4,2023-08-22 19:34:00,5.3,427.8,553.0,1
53,女性,159.8,56.9,2023-08-22 04:55:00,14.0,776.9,777.8,1
62,男性,174.1,66.8,2023-08-22 22:09:00,10.1,637.0,748.1,1
62,男性,169.5,63.5,2023-08-22 10:09:00,8.3,463.2,413.5,1
35,女性,163.0,59.1,2023-08-22 19:44:00,14.2,549.8,673.7,1
56,男性,166.1,61.0,2023-08-22 01:02:00,3.8,796.2,627.0,0
70,女性,155.6,53.6,2023-08-22 07:51:00,6.5,756.6,347.9,1
19,女性,157.3,55.0,2023-08-22 17:45:00,9.4,662.8,523.7,1
65,女性,162.4,58.1,2023-08-22 02:51:00,8.0,796.2,354.1,1
73,男性,174.5,67.3,2023-08-22 16:08:00,12.2,713.1,386.3,1
30,男性,165.1,60.6,2023-08-22 23:57:00,5.4,597.2,532.4,1
58,女性,155.8,54.2,2023-08-22 02:42:00,6.1,343.7,305.5,1
64,女性,160.3,56.8,2023-08-22 13:09:00,11.3,664.6,441.3,1
35,男性,169.8,63.9,2023-08-22 03:03:00,1.0,703.6,704.3,0
25,男性,165.5,61.0,2023-08-22 16:42:00,18.9,592.7,782.0,1
42,女性,164.8,60.0,2023-08-22 17:46:00,9.5,794.6,303.7,1
34,男性,168.6,62.6,2023-08-22 19:54:00,18.7,495.1,335.6,1
32,男性,166.8,61.8,2023-08-22 07:02:00,1.4,355.2,359.7,1
41,男性,166.0,60.7,2023-08-22 22:43:00,13.0,574.6,389.5,1
67,女性,164.9,60.0,2023-08-22 01:47:00,2.7,419.0,613.0,0
37,男性,173.5,66.8,2023-08-22 08:22:00,22.3,355.0,578.2,1
58,男性,170.9,65.2,2023-08-22 20:25:00,4.1,457.5,330.0,1
60,男性,174.2,66.8,2023-08-22 16:20:00,18.5,484.6,563.8,1
66,女性,160.8,57.8,2023-08-22 02:03:00,6.2,464.4,484.3,1
42,女性,156.2,54.2,2023-08-22 04:24:00,19.6,569.1,709.5,1
22,男性,174.2,67.0,2023-08-22 19:31:00,2.5,662.2,683.8,0
67,女性,163.5,59.6,2023-08-22 03:48:00,19.2,532.1,706.4,1
50,男性,168.6,63.5,2023-08-22 19:52:00,18.0,604.0,564.7,1
41,女性,158.7,55.4,2023-08-22 18:59:00,15.7,737.8,557.5,1
69,女性,163.6,59.7,2023-08-22 12:29:00,6.1,462.9,559.5,1
40,男性,174.9,67.3,2023-08-22 04:41:00,13.6,324.1,527.1,1
22,男性,173.9,67.4,2023-08-22 04:14:00,13.8,341.8,676.5,1
52,女性,159.6,56.1,2023-08-22 08:49:00,12.3,671.6,324.2,1
45,女性,161.2,58.1,2023-08-22 10:28:00,17.8,339.5,660.9,1
75,女性,164.5,59.6,2023-08-22 05:38:00,10.9,621.1,645.0,1
57,女性,161.0,57.8,2023-08-22 04:20:00,15.0,763.8,382.2,1
51,女性,159.1,56.5,2023-08-22 03:13:00,9.5,554.8,375.6,1
26,女性,163.3,58.8,2023-08-22 19:50:00,11.4,586.1,608.8,1
53,女性,158.4,55.7,2023-08-22 04:02:00,2.6,715.4,729.1,0
68,女性,160.7,57.3,2023-08-22 20:56:00,22.1,351.5,393.7,1
36,女性,161.5,57.4,2023-08-22 13:15:00,3.6,745.5,547.8,0
74,男性,165.4,60.7,2023-08-22 10:53:00,9.8,746.7,599.7,1
50,女性,164.5,59.6,2023-08-22 05:12:00,17.2,423.5,733.7,1
44,女性,158.8,55.6,2023-08-22 17:37:00,3.1,432.1,549.7,0
48,男性,173.6,67.2,2023-08-22 20:58:00,9.8,655.3,323.0,1
40,男性,167.5,62.7,2023-08-22 01:21:00,12.0,321.5,632.8,1
63,男性,173.2,66.8,2023-08-22 22:38:00,15.4,452.2,722.5,1
56,女性,158.6,55.7,2023-08-22 08:12:00,16.5,523.2,600.1,1
57,女性,163.9,59.3,2023-08-22 18:08:00,8.7,734.5,500.5,1
48,男性,168.5,62.6,2023-08-22 02:50:00,22.7,556.0,510.8,1
68,男性,166.3,61.2,2023-08-22 07:58:00,10.5,426.1,680.9,1
41,女性,156.3,54.5,2023-08-22 12:21:00,9.1,591.1,541.6,1
44,女性,157.9,55.1,2023-08-22 08:14:00,8.1,679.9,405.4,1
63,女性,159.0,56.5,2023-08-22 14:44:00,15.0,514.5,300.2,1
51,女性,164.7,60.7,2023-08-22 04:52:00,2.6,724.5,426.9,0
19,男性,167.6,62.0,2023-08-22 19:12:00,7.0,499.3,357.3,1
27,男性,165.0,60.0,2023-08-22 23:15:00,10.2,760.3,621.4,1
54,女性,157.1,55.0,2023-08-22 05:42:00,20.6,348.5,730.3,1
25,男性,166.6,61.5,2023-08-22 02:58:00,9.3,546.8,572.8,1
80,男性,170.1,64.6,2023-08-22 11:16:00,20.6,759.3,721.3,1
19,男性,169.4,63.8,2023-08-22 05:29:00,2.7,417.4,455.5,1
45,男性,165.6,60.7,2023-08-22 10:45:00,8.5,796.7,405.0,1
32,女性,159.1,56.0,2023-08-22 06:39:00,4.8,735.4,422.7,0
54,男性,170.3,64.5,2023-08-22 12:36:00,2.3,500.2,735.3,0
35,女性,164.0,59.3,2023-08-22 02:24:00,18.1,356.1,704.5,1
70,男性,167.6,62.6,2023-08-22 23:31:00,4.8,386.6,737.0,0
56,男性,169.0,63.2,2023-08-22 03:25:00,11.2,413.4,557.3,1
50,男性,167.4,62.0,2023-08-22 10:05:00,16.6,367.2,419.4,1
53,男性,169.6,63.5,2023-08-22 05:38:00,14.3,436.7,691.8,1
47,女性,164.2,60.0,2023-08-22 01:26:00,8.3,742.6,473.8,1
56,女性,155.0,53.3,2023-08-22 22:13:00,13.4,589.9,756.5,1
25,女性,158.7,55.4,2023-08-22 02:38:00,18.2,561.8,506.2,1
79,男性,174.3,67.2,2023-08-22 22:42:00,12.0,410.3,468.0,1
76,女性,159.0,55.7,2023-08-22 07:20:00,14.7,608.0,309.9,1
40,男性,173.2,66.1,2023-08-22 15:50:00,12.6,488.1,332.5,1
61,女性,164.0,59.8,2023-08-22 06:44:00,16.2,483.9,688.5,1
45,男性,166.5,61.3,2023-08-22 05:16:00,19.1,729.0,671.1,1
73,男性,169.5,64.0,2023-08-22 08:33:00,3.7,657.3,423.2,0
54,男性,172.8,65.9,2023-08-22 02:38:00,10.4,696.3,743.0,1
66,男性,170.1,64.5,2023-08-22 06:03:00,7.5,307.9,504.2,1
75,女性,163.4,58.9,2023-08-22 01:04:00,6.5,335.4,348.0,1
62,女性,160.6,57.3,2023-08-22 23:56:00,19.9,345.2,452.5,1
51,男性,170.8,64.8,2023-08-22 09:58:00,9.4,768.5,785.6,1
29,男性,171.8,65.6,2023-08-22 18:12:00,13.4,719.2,737.0,1
63,女性,155.2,53.7,2023-08-22 14:34:00,20.1,377.5,474.8,1
41,女性,159.2,55.8,2023-08-22 19:22:00,4.9,510.0,508.6,1
54,男性,168.7,63.0,2023-08-22 19:46:00,6.8,572.9,387.8,1
42,男性,167.6,62.6,2023-08-22 15:12:00,8.6,366.2,386.5,1
37,男性,167.8,62.0,2023-08-22 11:41:00,13.5,664.9,565.4,1
79,男性,171.8,65.4,2023-08-22 02:01:00,1.2,604.3,607.7,0
51,男性,169.0,63.7,2023-08-22 05:54:00,15.3,577.4,474.7,1
31,男性,170.3,64.4,2023-08-22 03:40:00,17.4,795.4,337.2,1
32,女性,160.2,56.6,2023-08-22 01:19:00,22.9,631.8,622.3,1
31,男性,166.6,61.7,2023-08-22 23:54:00,18.7,567.9,448.6,1
70,男性,165.6,60.5,2023-08-22 11:25:00,14.7,384.5,695.9,1
69,女性,157.0,55.2,2023-08-22 01:20:00,10.8,450.1,574.2,1
31,女性,155.4,53.6,2023-08-22 09:53:00,3.9,409.2,461.7,1
35,男性,173.2,66.3,2023-08-22 15:37:00,12.2,738.7,356.7,1
78,女性,155.9,53.8,2023-08-22 17:17:00,6.1,365.3,472.3,1
73,男性,166.6,61.6,2023-08-22 12:39:00,10.9,563.0,679.5,1
50,女性,162.9,58.9,2023-08-22 15:27:00,6.7,639.5,477.8,1
76,男性,172.1,65.9,2023-08-22 21:15:00,7.7,506.2,340.7,1
72,女性,155.6,53.6,2023-08-22 05:40:00,5.4,431.4,500.2,1
27,女性,163.7,59.6,2023-08-22 13:32:00,14.3,661.2,672.4,1
57,女性,159.6,56.6,2023-08-22 06:08:00,17.5,532.5,688.6,1
19,男性,172.3,65.9,2023-08-22 11:11:00,6.8,615.4,314.2,1
36,男性,165.2,60.5,2023-08-22 22:50:00,18.9,707.0,478.3,1
42,女性,160.8,57.1,2023-08-22 05:29:00,10.6,355.4,364.8,1
45,男性,174.2,67.6,2023-08-22 14:08:00,12.6,537.6,435.0,1
80,女性,159.1,56.6,2023-08-22 01:14:00,1.3,769.7,437.7,0
74,男性,173.3,67.0,2023-08-22 19:22:00,2.7,327.4,306.1,1
23,男性,170.4,64.6,2023-08-22 03:45:00,18.5,420.8,434.3,1
33,男性,172.9,66.3,2023-08-22 04:59:00,12.5,354.0,401.1,1
55,女性,164.1,59.4,2023-08-22 03:43:00,9.5,795.2,603.1,1
72,男性,174.9,67.4,2023-08-22 09:01:00,17.8,497.6,599.2,1
36,女性,161.6,58.3,2023-08-22 12:56:00,15.6,594.2,564.9,1
75,男性,170.4,64.4,2023-08-22 21:55:00,20.4,788.3,525.9,1
29,男性,165.6,60.9,2023-08-22 18:13:00,12.5,607.3,500.1,1
76,女性,156.2,54.1,2023-08-22 02:19:00,3.8,680.1,558.0,0
18,女性,160.1,57.4,2023-08-22 21:01:00,9.6,547.4,797.4,1
33,男性,169.6,63.7,2023-08-22 21:17:00,2.6,406.6,516.1,1
37,男性,171.6,65.8,2023-08-22 14:58:00,10.0,420.4,389.6,1
45,男性,166.0,61.4,2023-08-22 13:01:00,6.2,336.8,363.2,1
24,女性,160.2,56.6,2023-08-22 11:55:00,4.6,566.5,330.9,1
39,男性,173.3,66.9,2023-08-22 06:02:00,18.2,730.9,670.3,1
39,男性,171.2,64.9,2023-08-22 02:13:00,1.2,493.2,544.7,0
76,女性,158.5,55.4,2023-08-22 18:47:00,20.4,766.1,331.4,1
72,男性,174.1,67.2,2023-08-22 06:31:00,11.7,620.4,579.4,1
42,女性,161.9,58.4,2023-08-22 12:43:00,7.2,581.9,402.3,1
53,男性,167.2,62.0,2023-08-22 10:07:00,7.9,405.8,319.6,1
20,女性,163.7,59.5,2023-08-22 16:31:00,18.7,462.5,531.2,1
76,女性,160.1,56.5,2023-08-22 10:37:00,12.6,437.9,576.8,1
63,女性,160.9,57.7,2023-08-22 14:07:00,16.5,535.3,515.2,1
24,女性,156.3,54.0,2023-08-22 14:20:00,12.7,416.3,697.7,1
25,男性,172.1,66.0,2023-08-22 01:35:00,15.8,707.2,394.3,1
26,女性,161.4,58.1,2023-08-22 12:37:00,2.4,373.8,798.9,0
23,男性,167.7,62.4,2023-08-22 14:44:00,16.3,549.8,653.0,1
41,男性,172.9,66.4,2023-08-22 18:18:00,5.4,706.7,565.4,1
25,男性,173.3,66.8,2023-08-22 04:12:00,12.5,366.5,628.1,1
70,女性,164.0,59.2,2023-08-22 14:08:00,14.9,527.5,763.1,1
29,女性,161.1,57.4,2023-08-22 03:45:00,17.0,652.0,365.0,1
56,男性,170.8,64.4,2023-08-22 17:38:00,18.0,327.3,722.9,1
47,女性,163.6,58.9,2023-08-22 10:28:00,5.4,707.0,400.1,1
33,男性,170.0,64.0,2023-08-22 01:01:00,7.6,510.0,329.1,1
77,男性,173.0,66.3,2023-08-22 02:42:00,7.3,624.2,618.2,1
24,女性,158.9,56.3,2023-08-22 09:40:00,18.9,301.6,626.3,1
79,女性,161.1,57.4,2023-08-22 16:03:00,11.6,305.2,748.3,1
28,女性,159.4,56.1,2023-08-22 11:57:00,20.9,630.3,479.7,1
62,男性,168.7,62.8,2023-08-22 01:13:00,14.2,718.1,388.4,1
37,男性,172.1,65.2,2023-08-22 05:56:00,20.6,317.3,745.1,1
74,女性,164.1,60.2,2023-08-22 06:20:00,14.5,341.7,448.2,1
66,女性,163.6,59.5,2023-08-22 06:16:00,2.4,784.3,791.3,0
38,女性,162.3,58.2,2023-08-22 16:06:00,7.0,509.5,692.6,1
69,男性,170.1,64.3,2023-08-22 13:27:00,16.4,300.9,773.8,1
70,女性,163.0,59.1,2023-08-22 16:47:00,17.4,661.2,663.5,1
60,女性,161.1,57.4,2023-08-22 13:11:00,9.1,708.2,499.2,1
25,男性,169.7,63.7,2023-08-22 09:53:00,10.0,432.8,552.2,1
51,女性,163.5,59.0,2023-08-22 07:50:00,11.5,449.9,704.0,1
25,男性,168.2,62.9,2023-08-22 06:01:00,22.5,652.8,613.7,1
66,女性,157.7,55.0,2023-08-22 07:39:00,8.1,355.3,539.5,1
67,男性,165.6,61.2,2023-08-22 08:10:00,8.9,631.5,679.9,1
45,女性,158.4,55.6,2023-08-22 09:51:00,16.6,571.8,420.4,1
56,女性,159.8,56.8,2023-08-22 11:54:00,11.4,659.6,365.5,1
32,女性,156.8,54.4,2023-08-22 14:04:00,16.8,670.0,425.7,1
37,女性,159.8,57.1,2023-08-22 18:37:00,14.5,418.9,773.4,1
52,女性,156.3,54.2,2023-08-22 02:42:00,9.3,579.7,499.6,1
22,男性,174.8,67.3,2023-08-22 03:59:00,4.5,736.1,320.1,1
75,男性,167.4,62.1,2023-08-22 17:41:00,18.3,473.5,448.2,1
38,男性,169.3,63.7,2023-08-22 08:42:00,9.8,563.8,426.1,1
19,女性,159.9,56.4,2023-08-22 23:29:00,6.0,326.8,473.1,1
73,男性,170.6,64.8,2023-08-22 13:18:00,6.5,445.8,329.8,1
21,女性,159.0,56.4,2023-08-22 17:39:00,1.2,484.2,565.1,0
38,男性,166.1,61.6,2023-08-22 23:43:00,4.1,536.5,438.3,1
49,女性,161.2,57.7,2023-08-22 22:52:00,17.6,601.6,639.4,1
69,女性,161.7,57.9,2023-08-22 03:13:00,15.1,765.6,609.8,1
60,男性,167.7,62.5,2023-08-22 22:07:00,19.0,747.2,332.8,1
60,女性,156.3,54.4,2023-08-22 22:07:00,15.9,438.3,609.7,1
59,女性,164.3,59.5,2023-08-22 15:23:00,8.0,581.5,686.7,1
40,男性,171.0,65.2,2023-08-22 16:58:00,4.2,696.5,361.4,1
69,男性,167.2,61.9,2023-08-22 13:18:00,21.9,421.1,656.0,1
77,男性,167.5,62.7,2023-08-22 13:04:00,10.5,434.9,315.5,1
70,女性,159.1,56.1,2023-08-22 14:01:00,11.6,722.7,331.8,1
68,女性,158.0,55.5,2023-08-22 19:44:00,17.8,341.8,633.9,1
51,女性,160.5,57.1,2023-08-22 06:24:00,18.9,490.4,571.2,1
21,男性,170.5,64.5,2023-08-22 02:56:00,11.0,689.8,696.7,1
61,男性,172.5,66.3,2023-08-22 01:37:00,10.1,736.8,768.6,1
28,男性,170.8,64.3,2023-08-22 17:18:00,10.0,746.0,319.6,1
22,女性,159.8,56.9,2023-08-22 06:23:00,20.4,429.6,653.5,1
32,男性,171.1,64.7,2023-08-22 20:27:00,18.2,586.2,579.9,1
35,女性,156.7,54.3,2023-08-22 01:10:00,7.5,451.0,364.3,1
66,男性,174.4,67.2,2023-08-22 18:37:00,8.7,656.5,683.9,1
63,男性,172.7,66.1,2023-08-22 16:20:00,4.0,350.9,535.6,1
54,男性,173.3,66.6,2023-08-22 03:44:00,1.1,360.1,302.8,1
67,女性,160.0,56.4,2023-08-22 20:48:00,22.4,393.3,492.9,1
66,女性,164.9,60.0,2023-08-22 22:52:00,1.2,478.3,466.2,0
23,男性,174.0,66.9,2023-08-22 16:58:00,18.2,748.0,333.4,1
32,女性,161.5,57.7,2023-08-22 07:13:00,13.2,627.6,526.3,1
30,女性,155.4,53.8,2023-08-22 01:25:00,8.4,439.3,519.8,1
70,男性,171.7,65.5,2023-08-22 18:27:00,3.3,645.6,372.7,0
47,男性,167.7,62.3,2023-08-22 21:21:00,12.0,367.8,340.1,1
61,男性,168.2,62.8,2023-08-22 17:01:00,5.8,689.4,526.9,1
67,女性,163.7,59.7,2023-08-22 16:26:00,4.0,580.1,609.8,0
40,男性,166.9,61.5,2023-08-22 05:56:00,1.5,405.4,548.8,0
21,女性,164.5,59.8,2023-08-22 16:37:00,14.2,340.7,468.1,1
67,女性,164.4,60.2,2023-08-22 05:40:00,12.3,670.8,726.8,1
57,男性,167.1,61.9,2023-08-22 04:18:00,17.6,333.4,342.4,1
36,女性,157.2,54.6,2023-08-22 17:08:00,13.7,437.1,671.2,1
36,男性,167.3,62.0,2023-08-22 02:37:00,11.8,445.7,304.6,1
64,女性,161.3,58.2,2023-08-22 15:39:00,18.6,720.6,491.0,1
20,男性,172.2,65.6,2023-08-22 19:18:00,7.4,711.8,405.5,1
46,女性,164.4,60.0,2023-08-22 11:30:00,22.2,346.5,492.9,1
56,女性,158.7,55.7,2023-08-22 11:49:00,5.6,653.3,465.6,1
32,男性,167.4,61.9,2023-08-22 17:57:00,18.2,521.0,667.8,1
36,女性,164.6,60.0,2023-08-22 18:34:00,12.4,719.1,426.1,1
69,女性,156.6,54.2,2023-08-22 10:26:00,9.8,334.1,468.6,1
60,男性,172.4,65.6,2023-08-22 14:08:00,21.8,579.8,617.2,1
38,女性,156.4,54.3,2023-08-22 23:31:00,4.3,537.8,450.2,1
49,男性,172.6,66.1,2023-08-22 20:34:00,3.7,406.9,468.8,1
59,女性,157.2,54.8,2023-08-22 18:15:00,7.6,638.8,581.2,1
67,男性,170.8,64.7,2023-08-22 01:12:00,8.3,373.7,467.2,1
73,男性,169.7,64.3,2023-08-22 04:01:00,21.1,631.4,674.6,1
20,女性,158.6,56.0,2023-08-22 04:29:00,5.2,328.5,577.4,1
21,女性,161.2,57.7,2023-08-22 01:25:00,5.5,324.3,681.2,1
73,男性,167.9,62.1,2023-08-22 18:38:00,8.4,673.5,796.4,0
61,女性,163.5,59.6,2023-08-22 22:25:00,20.7,379.0,473.4,1
18,女性,156.7,54.3,2023-08-22 05:19:00,8.7,314.1,327.2,1
78,女性,163.5,59.3,2023-08-22 16:23:00,19.1,346.1,747.8,1
31,女性,162.7,59.1,2023-08-22 16:50:00,2.3,728.4,509.2,0
43,男性,165.6,61.1,2023-08-22 20:01:00,17.7,461.2,515.3,1
28,男性,171.2,65.1,2023-08-22 10:16:00,16.6,387.3,670.3,1
75,女性,156.1,54.5,2023-08-22 17:32:00,6.6,613.9,547.2,1
74,女性,159.2,56.4,2023-08-22 19:33:00,1.8,600.7,649.8,0
71,男性,171.8,65.0,2023-08-22 23:26:00,3.4,662.0,382.4,0
65,女性,162.9,59.4,2023-08-22 06:34:00,8.9,465.9,393.6,1
70,女性,155.6,53.4,2023-08-22 01:54:00,11.0,783.7,379.4,1
24,男性,169.1,63.0,2023-08-22 04:49:00,4.2,356.4,790.7,1
30,男性,173.4,66.9,2023-08-22 09:15:00,20.1,388.9,560.2,1
52,男性,167.8,62.5,2023-08-22 23:21:00,2.1,308.1,405.6,1
71,男性,173.2,66.6,2023-08-22 07:23:00,13.9,521.4,445.4,1
21,女性,157.7,55.5,2023-08-22 17:32:00,7.3,492.1,408.6,1
18,女性,158.5,56.2,2023-08-22 02:02:00,7.8,721.7,799.0,0
63,女性,157.3,54.6,2023-08-22 18:07:00,16.2,484.9,713.6,1
53,男性,165.8,60.9,2023-08-22 01:59:00,4.2,324.2,361.0,1
23,男性,174.2,66.8,2023-08-22 16:13:00,3.8,648.1,316.0,1
29,男性,166.6,61.5,2023-08-22 05:27:00,2.4,312.9,443.3,1
35,女性,158.0,55.5,2023-08-22 07:18:00,15.5,709.6,637.5,1
53,女性,157.5,55.0,2023-08-22 21:04:00,6.8,434.6,655.6,1
36,女性,162.1,57.9,2023-08-22 12:08:00,15.8,669.0,404.0,1
52,女性,162.2,58.8,2023-08-22 06:12:00,15.5,669.0,576.6,1
26,女性,163.1,59.2,2023-08-22 06:12:00,21.0,753.8,568.1,1
61,男性,166.7,61.4,2023-08-22 07:33:00,12.3,765.9,495.2,1
56,男性,172.6,65.9,2023-08-22 02:57:00,18.5,361.8,739.8,1
66,女性,159.3,56.7,2023-08-22 19:10:00,12.5,394.1,726.9,1
75,男性,165.9,61.5,2023-08-22 06:02:00,12.7,509.2,685.7,1
74,男性,165.5,61.0,2023-08-22 08:01:00,21.8,792.5,310.5,1
43,女性,155.6,54.0,2023-08-22 17:02:00,10.1,684.7,766.5,1
53,男性,173.2,66.9,2023-08-22 07:32:00,16.5,534.1,693.8,1
51,男性,170.8,64.9,2023-08-22 02:43:00,20.8,623.1,322.8,1
25,男性,172.5,65.9,2023-08-22 03:23:00,4.3,553.2,300.4,1
35,女性,164.3,59.7,2023-08-22 07:05:00,7.5,780.0,776.5,0
74,男性,170.6,65.0,2023-08-22 06:29:00,9.5,451.0,411.2,1
31,男性,165.7,60.9,2023-08-22 21:49:00,7.0,308.1,400.5,1
75,男性,167.7,62.6,2023-08-22 06:29:00,16.7,411.4,324.1,1
61,男性,167.1,61.7,2023-08-22 10:41:00,7.9,346.6,796.5,1
46,男性,171.8,65.2,2023-08-22 13:33:00,17.2,594.2,696.8,1
42,男性,168.7,62.9,2023-08-22 10:53:00,9.7,413.7,713.5,1
48,女性,162.4,58.7,2023-08-22 10:15:00,8.8,784.7,515.1,1
75,男性,171.8,65.8,2023-08-22 10:39:00,22.0,343.2,789.9,1
38,女性,162.2,58.8,2023-08-22 09:07:00,21.2,395.1,348.5,1
37,男性,165.1,60.7,2023-08-22 02:29:00,4.0,765.1,411.3,0
29,男性,168.5,63.5,2023-08-22 21:24:00,19.1,592.5,709.6,1
52,女性,162.4,58.1,2023-08-22 07:47:00,20.3,651.7,542.4,1
27,女性,159.2,56.2,2023-08-22 03:49:00,1.6,578.1,488.4,0
23,男性,169.3,63.2,2023-08-22 08:12:00,2.1,330.6,545.6,1
42,男性,169.3,63.6,2023-08-22 20:48:00,9.3,437.8,358.9,1
79,男性,174.4,67.2,2023-08-22 16:09:00,17.6,508.8,554.8,1
74,男性,167.9,62.6,2023-08-22 09:27:00,19.9,680.0,575.9,1
20,男性,165.0,60.8,2023-08-22 10:38:00,13.1,717.8,333.8,1
44,女性,164.5,59.8,2023-08-22 21:17:00,5.0,752.2,788.1,0
57,男性,174.5,67.6,2023-08-22 03:19:00,15.7,562.5,403.7,1
47,男性,169.6,63.7,2023-08-22 13:03:00,7.0,652.2,406.2,1
47,女性,163.6,59.5,2023-08-22 10:28:00,6.6,563.4,309.6,1
35,女性,164.7,60.1,2023-08-22 04:40:00,14.3,670.6,470.2,1
24,男性,168.1,62.3,2023-08-22 07:15:00,14.9,376.9,445.7,1
55,女性,163.9,59.8,2023-08-22 17:34:00,11.6,307.4,416.9,1
44,男性,174.8,67.4,2023-08-22 13:57:00,17.9,734.2,475.2,1
69,女性,155.1,53.7,2023-08-22 20:47:00,22.7,387.6,677.5,1
69,女性,158.2,55.1,2023-08-22 12:29:00,1.3,556.8,315.7,0
61,男性,174.4,67.0,2023-08-22 15:44:00,8.8,334.4,766.1,1
62,男性,169.3,63.6,2023-08-22 19:55:00,19.7,492.3,489.2,1
47,男性,165.9,60.9,2023-08-22 05:52:00,12.3,772.7,532.9,1
66,男性,166.0,60.8,2023-08-22 20:15:00,5.0,573.3,775.9,0
74,女性,164.7,60.0,2023-08-22 08:51:00,20.3,728.9,362.3,1
57,男性,171.7,65.3,2023-08-22 13:22:00,3.3,329.2,448.8,1
63,女性,164.2,59.5,2023-08-22 02:34:00,12.0,608.9,636.4,1
46,男性,169.3,63.6,2023-08-22 07:32:00,5.8,414.7,363.8,1
37,男性,167.4,61.9,2023-08-22 06:56:00,15.9,654.5,701.7,1
59,女性,162.6,58.4,2023-08-22 03:08:00,22.3,495.9,654.4,1
69,男性,174.8,67.3,2023-08-22 15:49:00,13.3,676.0,432.6,1
29,男性,171.3,64.6,2023-08-22 09:22:00,5.0,745.2,386.4,1
50,女性,159.2,56.6,2023-08-22 02:46:00,4.0,532.8,394.7,1
47,男性,172.7,66.1,2023-08-22 18:01:00,17.9,524.3,612.4,1
19,男性,167.8,62.0,2023-08-22 13:31:00,9.8,506.2,441.0,1
67,女性,162.9,59.3,2023-08-22 02:39:00,7.2,407.6,401.9,1
74,女性,157.5,54.9,2023-08-22 15:24:00,4.9,552.1,691.1,0
70,女性,161.8,58.3,2023-08-22 15:20:00,1.4,722.5,747.7,0
27,女性,163.4,59.3,2023-08-22 14:18:00,6.2,521.8,668.3,1
68,男性,171.2,64.6,2023-08-22 05:13:00,11.3,488.7,307.7,1
78,女性,164.5,60.5,2023-08-22 20:34:00,19.9,471.7,761.6,1
76,女性,163.5,58.9,2023-08-22 17:03:00,19.5,481.7,669.1,1
22,男性,166.6,61.7,2023-08-22 02:15:00,8.1,605.7,759.1,1
74,女性,162.2,58.5,2023-08-22 15:33:00,16.3,349.4,411.5,1
26,男性,174.2,67.1,2023-08-22 19:15:00,11.2,461.6,346.2,1
50,男性,165.8,60.8,2023-08-22 22:39:00,5.4,608.6,450.3,1
57,女性,159.1,56.4,2023-08-22 07:38:00,7.4,652.7,664.3,1
59,女性,160.0,57.1,2023-08-22 08:15:00,5.8,719.5,646.8,0
61,女性,158.9,56.3,2023-08-22 08:09:00,19.5,653.2,486.8,1
31,女性,164.5,59.6,2023-08-22 10:46:00,16.7,352.9,401.3,1
24,女性,162.9,58.9,2023-08-22 15:26:00,9.5,602.2,727.9,1
26,男性,174.0,67.6,2023-08-22 08:30:00,9.0,761.1,585.8,1
29,女性,157.5,54.9,2023-08-22 19:01:00,20.4,373.8,345.4,1
22,男性,171.8,65.8,2023-08-22 02:04:00,11.0,764.5,732.9,1
39,男性,166.3,61.0,2023-08-22 17:19:00,14.8,697.5,559.5,1
38,女性,157.4,55.0,2023-08-22 05:21:00,18.5,529.1,328.1,1
57,男性,167.2,62.5,2023-08-22 12:20:00,9.0,712.8,779.5,1
75,男性,169.1,63.0,2023-08-22 05:49:00,8.9,304.5,430.5,1
29,女性,157.2,55.0,2023-08-22 13:05:00,2.1,409.2,429.9,1
78,女性,162.9,59.1,2023-08-22 10:19:00,13.7,328.1,617.6,1
44,男性,175.0,67.5,2023-08-22 18:21:00,9.8,601.1,777.2,1
78,女性,164.7,60.4,2023-08-22 16:13:00,10.2,472.9,476.1,1
31,女性,159.2,56.3,2023-08-22 15:52:00,4.2,737.8,521.8,0
50,女性,157.3,55.3,2023-08-22 07:33:00,11.8,514.0,322.3,1
80,男性,165.1,60.5,2023-08-22 19:11:00,20.7,493.3,435.5,1
25,男性,174.4,67.5,2023-08-22 07:42:00,14.7,323.2,357.3,1
60,男性,173.4,66.2,2023-08-22 03:48:00,9.5,474.5,465.8,1
30,男性,170.7,64.3,2023-08-22 17:43:00,21.9,435.1,514.5,1
42,女性,155.9,54.4,2023-08-22 02:13:00,7.0,450.0,646.9,1
33,男性,168.1,62.4,2023-08-22 15:18:00,11.7,685.7,466.2,1
47,女性,162.5,58.5,2023-08-22 08:18:00,20.7,454.5,646.0,1
60,女性,164.7,60.0,2023-08-22 18:18:00,6.4,739.2,388.0,1
78,男性,166.4,61.5,2023-08-22 17:55:00,12.5,754.7,447.8,1
35,男性,174.7,67.8,2023-08-22 05:22:00,1.1,647.0,782.4,0
66,男性,168.6,63.5,2023-08-22 01:03:00,19.1,648.1,545.7,1
78,女性,163.5,59.1,2023-08-22 09:02:00,12.1,397.3,376.5,1
24,女性,164.5,60.4,2023-08-22 09:16:00,1.6,382.4,550.3,0
69,女性,155.3,53.7,2023-08-22 11:59:00,8.7,653.6,349.2,1
